Šifra udžbenika;Kod;Primjer
V12;ZS-99-a;Naučna istraživanja su pokazala da većina uspješnih ljudi potječe iz skladnih i uspješnih porodica.U porodici roditelji čine dobročinstvo svojim roditeljima pa ih Ailah počasti dobročinstvom njihove djece. 
V6;ZS-10-c;ПИТАЊА: Ко је био Свети Стефан? Ко је убио Светог Стефана и како? 
V6;ZS-11-c;Јевреји су га много мрзили и покушавали да га убију. 
V6;ZS-11-d;фИТЛЊА: У коме градује било мнбго хришћана? Ко је био Савле? 
V6;ZS-12-c;Иошто се римска многобожачка I власт ријешила побуњених jевреја окренула се против првих хришћана које је сматрала јудеjском сектом, самим тим и опасном за Римску империЈу. Иочела су гоњења хришћана у коЈИма сy  се дешавали најстрашниЈи злочини у историји рода људског. Ова гоњења трајала су скоро тривиЈeka.
V6;ZS-12-e;"ПИТАЊА:Које прорекао да ће се Јерусалим срушити и пропасти?Које и када разорио Јерусалим?Заштоје римска власт; почела прогонити хришћане? "
V6;ZS-13-a;To значи да је црква непогрешива, cамо онда када је вјерна Духу Светоме и када саборно доноси своје одлуке. Oво саборско рјешење било је писмено саопштено преко aпостола Павла и Варнаве  хришћанским општинама основаним iз незнабоштва. Тиме је потврђено да је Христос Спасите свих уди и циЈелог свиЈета. 
V6;ZS-13-b;ПИТАЊА:је одлучено на Апостолском сабдру?' Чега треба да се чувајуu xpшићани из незнабоштва ? 
V6;ZS-15-a;"Али неки Јевреји који су стигли у Листру придобише народ говорећи: ""Ништа право не говоре, него све лажу. Бог је, међутим чувао Павла и нису га убили. "
V6;ZS-16;На другом путовању Павле је провео око три године (од 50. до 53. године послије Христа), иропутовавши током тога времена неколико хиљада километара. 
V6;ZS-19-e;Хришћани су били лишени свих права, богослужбени скупови су били Јабрањени, а храмови разрушени. 
V6;ZS-19-f;"Jуначки су подносили све муке, па и смрт. Христова Црква се показала Јача од сваке земал>ске силе, коју нико не може уништити. '1Срв мученика је била сјеме изжога су %ицали нови хришћани"", каже црквени писац Тертулијан. "
V6;ZS-19-g;ПИТАЊА: Који је римски цар први почео гонити хршнћане ? Koји су апостоли нострадали за вријеме тога цара ? 
V6;ZS-20-b;Да би захвалио Богу за ову побједу, цар Константин је издао у граду Милану 313. г. ЕДИКТ, по коме се у цијелој царевини -допушта да свако може слободно да исповиЈеда Христову вјеру. 
V6;ZS-20-c;Цар је видио да су хришћани најбољи људи у царевинии зато им даде чиновничка мјеста. 
V6;ZS-21;ПИТАЊА: Које био цар Константин? Када игдјеје цар Константин објавио слободу хришћанима?Како се зове нови град којије он подигао?Штаје пронашла његова мајка Јелена? 
V6;ZS-23;Kада је престало спољашње гоњење Цркве, онда су се појавили унутрашњи непријатељи вјере, лажни учитељи (јеретици), који су покушавали да разоре једну, свету, саборну и апостолску Цркву и пуноћу исгине у њој. 
V6;ZS-24-a;Свети Оци, епископи Цркве, nа тим саборима су бранили православну вјеру од јеретичких  заблуда и лажних учења. 
V6;ZS-24-b;ПИТАЊА:Шта су Васељенски сабори? Гдје и када је одржан први Васешстжи сабор ? 
V6;ZS-25-a;Погрешно учење епископа Македонија је осуђено, а сабор је  формулисао учење Цркве о Богу Духу Светоме. 
V6;ZS-25-b;ПИТАЊА:Када игдјеје одржан Други Васељенски сабор? Колико члановасадржи Символ ВЈере ?
V6;ZS-27-a;Они који су тврдили да у христу постоји само природа, пдбацили су одлуку Халкидонског сабора и до данас су остали одвојени Православне Цркве.
V6;ZS-27-b;ПИТАЊА: Када и гдјеје одржан трећи Васељенски сабор? Шта су Свети Оци одлучшш на Грећем сабору ? 
V6;ZS-28-a;У седмом вијеку, у Цркви су се појавили нови јеретици под именом - МОНОТЕЛИТИ. Због тога је сазван, 680. г. У Цариграду, шести Васељенски сабор. На њему су Свети Оци осудили јерес монотелита и посвједочили оно што и претходни сабори: 
V6;ZS-28-b;ПИТАЊА: Када игфје одржан Пети Васељенски сабор? Шта је на њему одлучено? 
V6;ZS-28-c;На овом сабору осуђено је учење  Оригена (+254), који је погрешно учио да су сви анђели створени једнаким по савршенству.Још је погрешно учио да ће се зли духови покајати и постати добри, повратити Богу и измирити са њим. 
V6;ZS-29-a;Ми, дакле, не одајемо поштовање самој материји икона, нити се молимо самим иконама,него се наша мисао преноси на Бога  и на светитеље чији су ликови на иконама приказани. Иконе су Еванђеље у бојама, вЈеронаука за очи. 
V6;ZS-30-a;ПИТАЊА:Када игдјеје одржан седми Васељенски сабор?Да ли су Свети Оци одобрили поштовање светих икона ? Штаје то идолопоклонство? 
V6;ZS-30-c;У VII вијеку хришћанске ере, јавља се нова вјера чији је осни вач Мухамед .
V6;ZS-31-b;Монаштво је аз цркву кроз векове било до непроцењивог значаја.Од броја и квалитета монаха зависила је снага цркве и светост Једног народа. 
V6;ZS-33-b;Временом,Ианастири на западу су постали врло богати,што је довело oПаадања дисциплине. Овоме је нарочито допринио тзв. Феудални шстем.
V6;ZS-34-a;ПИТАЊА: Ко су монаси? Који су облици монашког живота ? Како се развило монаштво на западу? 
V6;ZS-36-b;ПИТАЊА: Када почиње покрштавање Словена? Ко су били Кирило и Методије ? 
V6;ZS-37-b;ПИТАЊА: Да ли је криггење Срба ишло брзоилако? Ко су билиученици свете браће Ђирила и Методија? 
V6;ZS-37-c;"KРШТЕЊЕ РУСА:Кнез Владимир је био многобожац по вјеровању и по животу. Сазнавпш""дапосгф друге вјере, оп доче брижљиво испнгивати, која је од ших најбоља. Зато посла једно изасланствоу Цариград. Кад се изасланици вратише, саолштшпе кнезу да су били на служби у православној цркви Свете Софије. Ту смо видјели такву ЗБепоту и величансгвеносг да Је то немогупе исказати. "
V6;ZS-38-a;Такве љепоте нигдје у свијету нема. Па стога вјерујемо да је њихова вјера права и истинита и да је с њима Бог. 
V6;ZS-39;HОВА УЧЕЊА 3АПАДНЕ ЦРКВЕ 
V6;ZS-39-a;ПИТАЊА:Kад је остварено покрштење Руса ? Које био кнез Владимир?Које био први руски патријарх? 
V6;ZS-39-b;Овај расцјеп цркве није ни до данас изглађен. Мапа су чињени многи покушаји помирења. Тако су 1965. г. Цариградски патријарх Атиногора и папа Павле VI поништили анатеме из 1054. г. У жељи да се постигне јединство до кога никад није дошло. 
V6;ZS-40;НОВИ ОБРЕДИ У ЗАПАДНОЈ ЦРКВИ 
V6;ZS-41-a;Увођењем ових новина западна црква је показала тенденцију да се не држи црквене традиције, него да уређују своју цркву по своме нахођењу.
V6;ZS-41-d;ПИТАЊА:Када се догодио црквени раскол? Када су поништене анатеме из 1054, г ? 
V6;ZS-43-c;Када је цар Константин увидио неизбјежну пропаст, он затражи помоћ од папе Николе V. Међутим, папа Никола, умјесто какве стварне помоћи, пошаље у Цариград свога легата, да утврди Флорентинску унију. 
V6;ZS-44-b;Главни покретач је био папа Гргур VII. Покрет је настојао да се створи независност Цркве од сваке световне власти. Ово је онемогућило  помиpење ca Истоком. 
V6;ZS-45-c;Незадовољсгво западних хршАана својом црквом и сtapa тежња да се она преуреди, завршила се реформацијом цркве.
V6;ZS-46-a;Изучиви добро Свето писмо, отишао је у Рим 1510. г. Вратио се из Рима разочаран живо^Гом папе. Продавање за новац опроштаја се назива индулгенција. Та папина одлука буде објављена у Њемачкoj и неки калуђер, по имену Тецел, стаде за новац продавати опроштај  гриЈехова као на вашару. 
V6;ZS-46-b;Његов постуиак изазове велико узбуђење у народу и наиђе на све стране на  одобраБлње. 
V6;ZS-46-c;Лутер  је  је учио да је прародитељски гријех човјека сасвим искварио. Тако је човјек, по Лутеровом мишљењу, усљед гријеха !1сасвим изгубио своју вољу. Он зато не може да се одупре искушењима, нити да чини добра д^ела. Зато се Бог задовољава 'једино његовом вјером.Ове заслуге Бог урачунава оном ко вјерује и'проглашава га за праведника. Зато су покајање и добра д^ела, по Лутеру, непотребна и сувишна. 
V6;ZS-47-b;Реформција је шјприје била у рукама оних њемачких богослова који су били незадовољни римском црквом.Њемачки кнежеви се подијеле на католике и реформаторе. Цару њемачком, Карлу није било у интересу да се Њемачка Фдепа у вјерском погледу,неко вријеме не дође до cykoba.
V6;ZS-48;ПРАВОСЛАВНИ СВИЈЕТ ПРАВОСЛАВНА ЦРКВА ДАНАС 
V6;ZS-48-a;ПИТАЊА: По којим европским земљама се ширило лутершство?
V6;ZS-49;1914. год. Било је: храмова 54447, капела 25.593, свештениkа 57.105. манастира 1498, богословија 57, вјерника - око 98.500.000. 
V6;ZS-50;Због надирања ислама, хришћанска краљевина Грузија, пред крај XVIII вијека ставила се под запггиту Русије. Русија је 1801, г. Укинула краљевину Грузију, па је убрзо затим и њена Црква изгубила самосгалносг.Поред Патријаршија у Православној Цвкви постоје Архиегшскопије и Митрополије 
V6;ZS-53;У toj посланица (писмо) је, супротно свим историјским чињеницама,доказивао да је Исгочна Црква некада признавала папске наредое као свој закон. У њој су у осудили папину енцикИику као нечастиву и за душу убитачну. Када је одржан први Ватикански сабор? Који папаје упутно енциклику источним хрипАаиима ? 
V6;ZS-54;"Православни критичари екуменизма истичу да је овај покрет здпични производ протестантског иоимања xишћанства и Цркве. То поимање пДОуМева да не посгози једна исшш и једна Црква, него да свака од бројних ""цркава"" подедује понешто од истине. На екуменским скуповима данас и православни већ сасвим незазорно учествују у заједничким молитаама, вјероватно мислећи да тиме""унапређују екуменски ""дијалог љубави"". "
V6;ZS-55-a;Присуство православне дијаспоре утиче благотворно и на народе међу којима и са којима православни заједнички живе. 
V6;ZS-55-b;Тако, примајући Православље, Шга се уствари само враћају себи самима, својој хиљадугодишњој православној прошлости, која је доцније била замрачена неправославним наносима. 
V6;ZS-56-a;Она треба да свједочи пуноћу истине пред онима који су, из разних разлога, ту пуноћу вјере изгубилау мањем или већем степену. Њена је обавеза да иде међу .Njена родеи штаваЈупи у име Оца и Сина и Светога Духа учећи их да држе све оно што је Господ запојђедио људима. 
V6;ZS-57a;Резултат тог мисионарског рада је данашња Православна Црква y Чехословачкоj.
V6;ZS-57-b;Ако сви нису у стању да иду у далеке земље да пропови 
V6;ZS-6-b;Шта је то Црква ? На колико периода се дијели историја xршпћансже Цркве.
V6;ZS-7-b;"Све снаге незнабожачког свијета; римска власт и народ, окомили су се на xpишћанску Цркву да је потпуно униште."
V6;ZS-7-c;Појавивши се у центру јевреЈства, али прекинувши са  њим сваку везу Црква је у лицу Јевреја добила раздражене непријатеље. Хришћане су Јевреји сматрали за издајице своје вјере и отаџбине па су се због тога старали да им нашкоде свим средствима. 
V6;ZS-7-d;Пред уједињеним притиском таквих сила, као што су незк абоштво и јеврејство, живот хрићанске Цркве се претворио у тешку драму у којој је читавим I потоциматекла хришћанска крв. Али. Из земље оквашене крвљу хришћанских мученика, орзо je расла хришћанска Црква и побједоносно ишла своме слављу.
V6;ZS-9-a;Гдје се догодио силазак Светога Духа на Апосголе? У коме обликује сишао Дух Свети? Ко је од Апостола одржао лроповијед народу? 
V6;ZS-9-c;Бранио је Христову науку од јеврејских књижевника и фарисеја и био је мудрији од њих. Због тога су посрамљени Јевреји побунили народ и старЈешине против њега. Нашли су лажне свједоке и извели га на суд, оптужујући га да је говорио против Бога и Мојсија. На суду је Стефан одржао говор и рекао Јеврејима да су они мучили и убијали Божије пророке који су јављали долазак Месије.
V9;ZS-13-a;Када се, пак, упореде бва два закона, може се видјети да је Христов закон далеко узвишенији и савршенији од Мојсијева.
V9;ZS-13-b;"Мојсијев закон, и  Изузевши морална правила и наЈважниЈе истине bјере, имао је важност само за Јевреје, а закон Христов удешен Је за све   без разлике, те се као наЈсавршенији закон неће замjeниtи Лдакаквим новим, него ће остати меј^у људима за сва времена и за ,све народе јер је Христос обећао да ће бити свагда са својом Црквом „дoрраја вијека""  "
V9;ZS-13-c;ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Како се дијели писани морални закон?2. шта подразумијевамо под Христовим моралним закрном?З.Напиши Христове заповијести о сГљувави^ 4. Зашто је Христов морални закон савршенији од Мојсијевог? 
V9;ZS-14;Mеђутим, ђаво у облику змије на лукав рачин вара жену Evu.Код Еве се појавила велика рапозналост и неповЈерење према ономе што је чула од Адама о дрвету знања добра и злa Онау yбра рода с њега и окуси,затим даде и Адаму и он окуси.Тим чином човјек нарушава морални закон,пада у гријех и у исто бријеме  он се упознава са злом.
V9;ZS-15-b;Тамо су живјели у највећој биједи. Једне зиме његова пасторкa je прелазилa преко залеђене ријеке Сирокиса. Одједном лед се под њом провали и она паде y воду до грла. Сантe леда стегнy је око грла и она се поче скакати, како je на пиру у двору Иродовоме играла пред његовим гостима и као нагpаду за добру игру  добила на тањиру одсјечену главу Cв. Jована Претече. Док је она скакала, cанте леда су јој одсјекле главу кoja je ocтала на ледy, a труп je однијела водa... Њену главу нашли су и на тањиру одниjели њeној маjци као некадa главу Св. Јована. И овај примјер као и мноштво других, говори да се требамо клонити гријеха, jep он не осгаје без казне и да требамо чинити добро, jер ко чини добро добру се треба и надати. 
V9;ZS-18;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ: 1. По ријечима владике Николаја ко је отац гpијеха а ко отац смрти?; 2. Шта je гpијех?; 3. По учењy светих oтаца којим редосљедом сe развија гpијех y човјеку?; 4. Kако се гpијех дијели?; 5. Да ли, и пред ким, требамо исповиједати cвоје гpијехе?"
V9;ZS-20-a;"1. Пpича о Закеjу; 2. Пpича о Фарисејy и цаpиникy; 3. Пpича о блудном сину. Mеђу cветитељима koje Црква пpославља имати таквих, и то прилично, који су један дио живота у гријесима провели,"
V9;ZS-21-a;"""Сине, ти си свагда са мном и све je моје твојe. Tребало се развеселити и збрадовати, јер овај брат твој бијеше мртав -и оживје; и изгубљен бијеше и нађа се"". "
V9;ZS-21-b;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Коме је Господ дао моћ да може опраштати фијехе? ; 2. Пта је потребно да би се грешник поправио?; 3. Y којим јеванђељским причама налазимо примјер покајањa грeшника? "
V9;ZS-23-b;Cавјест казује шта је добро, а  шта злo. Слобода воље има у власти да одабере једно или друго. Због тога штo oвјек има слободу воље да може oдабрати добро или зло, он је одговopан за своја дјела.  Да човјек има слободу воље, учи нас здрав разум и Христова вјерa. Y Cвeтoм писму имамо мноштво примјера који свједоче да човjeк има слободу воље. Сваки је човјек свјестан тогa да оно штo чини заиста слободно чини тј. да је Ј у његовој вољи  хоће ли ово или oно учинити. 
V9;ZS-23-c;"РГОBЈЕРИМО СВОЈЕ ЗНАЊКE: 1. Шта је савјест?; 2. Каква савјест треба да буде код хришћанина?; 3. Шта је слобода воље? "
V9;ZS-24;Човјек је дужан приje свега да упозна самога себе, да се чешће oзбиљно cабере и испитује своју савјест, свoje мисли, жеље, намјере  и дjeла. Tpеба дa ce тpyди и дозна шта 6 њему мисЛе и говоре други људи, jep говјек често због претјераног cамoљубља нe вндн  на ceби неке мане и недостатке. Хришћанин треба себе да достоjнo циjени и пoштује, да буде смирен, да се стара о спасењу своје душе, да се стара o cвoмe тнjeлy cвојој земаљској срећи. 
V9;ZS-25-a;Ocнoвa правилном владању хришћани прeмa  ближњем је ЉУБАВ, коју налаже Христос у својој заповијести. . Ђовјек је дужан дa пocтупа према другим људима као  према самоме себи, cходно Христовим ријечима: Што год желите да вама чине људи, тако и ви чините њима.
V9;ZS-25-b;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ:  1. Шта jе циљ човјековoг живота на земљи?; 2. Шта хришћанске дужности траже од хришћанина?; 3. Како се дијеле хришћанске дужности?; 4. У које три хришћанске врлине су садржане дужности хришћана према Богу?; 5. Kако треба да поступамо према другимa и штa Христос, у вези са тим, каже?"
V9;ZS-26-a;Вјера је прва и основна хришћанска врлина и на њој почивају све oстале врлине и сав хришћански морални живот. Вјера је Бoжнjн дap инa je човјеку неопходна ради постизања вјечног спасењa. И као што лађа без компаса не може сигурно дa плови жељеном пристаништy, тако и човјек без вјере не може дoстигнути тихо пристаништe спасења. Губитак вjeре' је највећа неcpeћа за човjeка. Тај гријех против вјере зове ce атеизам или безбoштвo. Овај гријех је велики и неопростив а њега могу код човјeка пpоузроковати разне околности као, нпp., рђаво васпитање, зли примјери у младости, једнострана и површна ученост. 
V9;ZS-27-b;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Како гласи дефинициja aп. Павла о вјери?; 2. Највећа хришћанска врлина је?; 3. У ком дијелу Св. Писма се налази химна љубави?"
V9;ZS-27-c;ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ: Kоме је сличан човјек без вјере? 
V9;ZS-28;Xришћанин тpеба да je дарежљив и да је увијек спреман пoмоћи oнима којиша je пoмоћ пoтpебнa. Кадa другшла чинимo дoбpo, cеби то двоструко и стоструко чинимо, јер Бoг види и плапа. 
V9;ZS-29;Давaњe je, y cтварп, израз онога што смо. Увијек, дакле, морамо бити спремни помагати, али и имати на уму да је материјално давање најмања жртва, али је ипак неопходна. Далеко већа жртва је брига o душама наших ближњих. Св. Серафим каже: Aко немаш ништа при себи да даш cиромаху, ти се помоли Богу за њега. 
V9;ZS-30-a;Милосрђе треба указати свакоме коме је оно потребнo. Христoс yчи дa требамо бити милостиви и према својим непријатељима. А дјела шглосрђа су углавном овa: гладнога нахранити,жеднога напојити, нагога одјенути, болеснога походити и послужити, сужење у тамници посјетити, путника у кућу примити, сиромаха сахранити, грешника од зла пута одвратити, невјерника исгинитој вjeри поучити, зa ближњега се Богу молити, увреде праштати.  
V9;ZS-30-b;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Hаброј седам хришћанских врлина?; 2. Како се исказује ревност у вјери?; 3. која су дјела милосрђа?"
V9;ZS-32-a;Многе људе богатcтвo заведе и опије и постане им идол, коме они почнy дa cлyжe каo poбови. Ко долази до богатств, не бирајући средства, навлачи на себе и cвoj дoм велике невоље. Богатство често служи као сметња за улазак y Цapство Небеско. 
V9;ZS-33;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊE: 1. Hабр6ј седам смртних гријехова?; 2. Заштo се ови гријеси зoву смртни?; 3. Када се код човјека јавља гордост?; 4. Богатство често служи каo сметња за улазак у царство небеско. Шта Xристос у вези са овим каже?; 5. Када се код човјека јавља очаjањe?"
V9;ZS-35;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Шта је пост?; 2. Који је циљ поста?; 3. Hаброј вишедневне постове у нашој Цркви?; 4. . Који су једнодневни постови у нашој Цркви?"
V9;ZS-37;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ :  1. Шта је завјет?; 2. Шта је заклетва? "
V9;ZS-38;Све до доласка Господа Исуса Христа на земљу људи нису знали прaви смисао овога живота нити су знали циљ ни пут којим се дo циљa долази. Човјек се може приближити Богу и постати сличан Њему самo кроз Сина Његовог угледавајући се на живот Његов и врлине Његове.
V9;ZS-40;"Љубите непријатеље своје, благосиљајте оне који вас куну... . Све, дакле, што хоћете да чине вама људи, тако чините и ви њима: јер то је Закон и Пророци... ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Како се зове чувена Христова бесједа?; 2. Колико има блаженстава?; 3. Допунимо Христове ријечи?"
V9;ZS-42;"...o духовном плачу... Њихов плач изазива кајање због... Њихов плач изазива кајање због... ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Шта је смиреност?; 2. У којим јеванђељским причама се говори о овој врлини?; 3. Пта је то духовни плач?; 4. Шта је жена грешница, из јеванђељске приче, урадила те јој је Xристос опросгио гријехe?"
V9;ZS-43;Кротост је такво духовно стање кад у срцу човјека нема мржње ни Шрема коме па ни према неприЈатељима, кад нема жеље зa осветом. Tакође примјер кротости су дали хришћани за време страшних гоњења. Непријатељи сy нх свирепо мучили и прогонли, а они су то све са великом кротошћу пoдноcили. Tом својом кротошћу хришћансгво jе наслиједило циjелу земљу.
V9;ZS-44a;Неправда је, свакако, зло које се тешко подноси, али је ипак боље трпјети негд чинити неправду, јер ће на крају правда побиједити неправду. 
V9;ZS-44-b;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Шта је кроткост?; 2. Којим ријечима се Христос молиo зa своjе мучитеље?; 3. Шта подразумијевамо под правдом?"
V9;ZS-45;Милостиви људи су они који чине добра дјела и помажу људима. Tиме заслужуjу да и Бог буде милостив према њимa. Први услов да 6и... Xристос учи да милостиви треба да будемо лрема свим људима, a Његово милосрђе иде тако далеко да обухвата љубав према неприjaтељима. Дjела тјелесног милосрђa cy: гладнога нахранити, жеднога напојити, нагога одјенути, болеснога обићи и послужити, cyжња у тамници пocjeтити, пyтника у кућу примити, cиромаха сахранити. 
V9;ZS-46-a;Вез мира са Богом и у себи нема мира y људском друштву. Људи су дужни да раде на томе да завлада мир, јеp таквима је обећано да ће се синовима Божијим назвати. Они који миp граде, раде Божији посао. Зато ће се и назати синовима Божијим. 
V9;ZS-46-b;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Y коjим јеванђељским причама се горoви o милосрђу?; 2. Како се постиже чистоћа срца?; 3. 1.Ко је највећи миротворaц?"
V9;ZS-47-a;Пoд пpoгнaнимa пpaвдe paди, тpeбa paзyмjeти пoбoжнe љyдe, кoje cвиjeт, пoмpaчeн гpиjexoм, због њихове вјере у Бога и иобожности нe трпи y својој cpeдини нeгo иx иcмиjава, вријеђа, злоставља и прогони. 3aшто свијет не трпи праведнике? 
V9;ZS-47-b;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Шта ап. Павле каже за оне који хоће да побожно живе у Xpиcтy?; 2. Ко је први страдао за Христа?; 3. Наброј светитеље који су страдали за Христа? "
V9;ZS-48;Према томе, брак је светиња, како пo своме постанку, каo божанска установа, тако и по своме надземаљскоме циљу. Брак je, дaкле, основна ћелија и темељ на коме почивају зграде пордоице, дpуштва и државе.
V9;ZS-50;Прописане године старости (за мушкарца 18, а за жену 16). Основа добрoм васпитању је религиозно-морaлно образовање. У домаћем васлитању од особитог значаја je мајка. Због тога мајка треба дa je мудра и побожна, јер што она y дjетињству усади y душу дјетeтa, то човјек носи са собом кpоз цијели живот. 
V9;ZS-51-a;Дјеца су дужна вољети своје родитеље као своje... Mудар је син радост оцу, а безуман и рђав син је жалост матери своjoj.
V9;ZS-51-b;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Које су најважније хридгћанске друштвене зajeднвце?; 2. С киме ап. Павле упоређује брачну везу међу супружницима?; 3.Чему је сличан брак без Бoжиjег благоcлoвa?; 4. Наброј дужности родитеља према дјеци и дјеце према родитељима! "
V9;ZS-52-a;Xришћанска Црква приповедајући једнакост и братство међу љyдима, не укида измjену сталежа и разних друштвених звања, нити чини млађе равне стариjимa, a пoтчињeнe једнаке њиховим стpjeшинама у cвему. Црква забрањује ропство, јер је то противно мoралним законимa, jeр оно претвара човјека y прocту ствар, с којим може господар по cвoјој вољи располагати и лишавати га зстојанства. Међутим, y cваком друштву постоје старјешине и потчињени, стари и млађи и тај oднос у друштву ће трајати увијек, ма на ком ступњу образовања и  благостања људско друштво било.
V9;ZS-52-b;"Дужнocти рoтчињених према старешинама су oвe: Потчињени није дужан слушати старjешину сaмо oнда када би овај наредио да учини нешто што је Божијем или гpaђанском закону противно, јер ""Бога треба више слушати него људе."
V9;ZS-53;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Зашто Црква забрањује ропствo?; 2. Kако треба поступати старјешина када потчињени направи какву пoгpешку?; 3. Које су дужности потчињениx пpема старјешинама?; 4. Када потчињени није дужан слушати свога старјешину? "
V9;ZS-54-a;Под отаџбином треба разумјети земљy y коjoj смо се родили, дpжaви у којој живимо и народ коме по рођењу припадамo. Oтаџбину треба вољети, чувати односно према њој велику љубав имати. 
V9;ZS-54-b;Сам Бог jе у срце човјекa усадио љубав према родном мзесту, cвоме народу и отаџбини и нарoду из кога је поникаo.
V9;ZS-54-c;Xpишћанин је дужан поштовати и све државне власти и њихове нaредбе и заповијести извршавати јер је свака власт од Бога.
V9;ZS-54-d;"...да настоји да одгони свако зло, које би отаџбини пријетило. ... да од срца дијели радост и жaлocт, и срећу и несрећу своje отаџбинe и свога народа па ако jе потребно да и сами свој живот за њу жртвује по ријечима Господа Исуса Христа ""Од ове љубави нема нико веће, до ко душу своју положи за ближње своје."""
V9;ZS-55;"ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Шта подразумјевамо под отаџбином?; 2. Y чему се састоји љубав према отаџбинy?; 3. Шта од хришћанина захтјева љубав према отадбини?; 4. Ко даје лијеп примјер љубави према отаџбини?; 5. Да ли смо дужни поштовати државне законе и наредбe?"
V9;ZS-56;КАКО СЕ ТРЕБА ПОНАШАТИ У ЦРСКИ: Ако желиш да молитва буде корисна, опрости свакоме коjи те увриједио, његове гријехе да би ти могао рећи.
V9;ZS-56-a;Сваки човјек који жели спасење мора бити члан Христове Цркве, мoра вјеровати њеној науци и покоравати се њеним наредбама.
V9;ZS-57;Знај да, ако не опростиш ближњему увреде, неће ни Бог теби опростити гријехове твоје. Чувај се као живе ватре смијеха и разговора у цркви...
V9;ZS-58;"1. MОЛИТИ СЕ БОГУ И СЛУШАТИ СЛУЖБУ ВОЖИJY СВАKE НЕДЈЕЉЕ И ПРАЗНИKA; 2. ДРЖАТИ ПОСТ ПРЕД РОЂЕЊЕМ И ВАСКРСЕЊЕМ ХРИCТОВИМ, ПРЕД ПРАЗНИКЕ СВ. АП. ПЕТРА И ПАВЛА, ПРEД УСПЕЊЕ БОГОРОДИЦЕ И СВАКЕ СРИЈЕДВ И ПЕТКА; 3. СВЕШТЕНА ЛИЦА ТРЕБА ПОШТОВАТИ; 4. ИСПОВИЈЕДАТИ СЕ И ПРИЧЕШЋИВАТИ У СПОМЕНУТE ВЕЛИКЕ ПОСТОВЕ; 5. MOЛИТИ СЕ БОГУ 3А ОНЕ КОЈИ СY HA ВЛАСТИ; 6. ДРЖАТИ ПОСТОВЕ И МОЛИТВЕ КОЈЕ ЗАПОВИЈЕДИ ЕПИСКОП У ВРИЈЕМЕ КАКВE НEBОЉЕ; 7. ЦРКВЕНЕ СТВАРИ НЕ УПОТРЕБЉАВАТИ; 8. СВАДБЕ НЕ ЧИНИТИ У ВРИЈЕМЕ ПОСТА; 9. ЈЕРЕТИЧКЕ КЊИГЕ НЕ ЧИТАТИ. "
V9;ZS-59;" ПРОВЈЕРИМО СВОЈЕ ЗНАЊЕ : 1. Шта је Црква?; 2. Кога је Христос овластио да управља Црквбм?; 3. Ко представља највишу власт у православној Цркви?; 4. Шта су васељенски сабори и колико их је билo?; 5. У које вријеме не можемо чинити свадбе?"
V9;ZS-5-a;Цдљ човјекова живљења на земљи јесте постизање спасењa. Људи cy створени за то да праведно и свето живе и да својим дjелима Богу yгађајy.
V9;ZS-6;ФИЗИЧКA, - МОРАЛНА, Овом душом човјек се углавном и разликује од животиња.
V9;ZS-61-a;Православни српски народ, у oвом времену, пролази кроз тешка искушења. Пет деценија грубог атеизма осгавило јс дубоке ране y духовном животу нашег народа, Те ране још нису зарасле, а велики пpоблем данашњег времена у нашем народу је појава секти. 
V9;ZS-61-b;Cекташи се међусобно разликуjy, али имају и нешто што им је заједичко. Свима њима је циљ да разоре оне основне елементе људскe eгзистенцијe, као што су ПОРОДИЦА и ДРЖАВА. Сама ријеч секта је лaтинског поријекла и значи сљедовати. 
V9;ZS-61-c;"Знајући да је породица стуб и темељ сваког друштва секташи насгоје cвим cилама да уншпте породицу и да направе неслогу у породици пo иховом принципу: ""Што горе - тo боље"". Своjим члановима у већини cлyчаjева ceктe налажу раскидање свих веза и односа са породицом и рoдбином. У њиховим молитвама чују се и сљедеће ријечи: ""Ишчyпаj маjку из свог cpца и пљуни у лице свога а оца""."
